sim, sim.num, error, n, time.elapsed, model, mod.nodes, n.effect, n.noeffect, rmse.effect, rmse.noeffect, cov.effect, cov.noeffect, TP.effect, FP.effect, FP.noeffect, cum.rmse.effect, cum.rmse.noeffect, cum.cov.effect, cum.cov.noeffect, cum.TP, cum.FP, inc.mod_num, inc.mod_bin, inc.mod_scale, inc.other_num, inc.other_bin, inf.mod_num, inf.mod_bin, inf.mod_scale, inf.other_num, inf.other_bin, prob.mod_num, prob.mod_bin, prob.mod_scale, prob.other_num, prob.other_bin, prob.mod_num.mod_bin, prob.mod_num.mod_scale, prob.mod_scale.mod_scale, prob.2mod.max, prob.2mod.mean, oos.f.mspe, oos.f.cov, oos.y.mspe, oos.y.cov, waic
2, 89, 25, 5000, 140.838, dlmtree:SingleGP, 0, 2510, 2490, 0.111168757550687, 0.0553076234439826, 0.843964681813287, 0.783783783783784, 1, 0, 0.216216216216216, 1.84102054667374, 0.9080200480534, 0.20398406374502, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02436557030319, 0.1148, 25.2299244255409, 0.955, 30484.058304218
2, 92, 25, 5000, 138.673, dlmtree:SingleGP, 0, 2497, 2503, 0.107998567134394, 0.0647063052969817, 0.794012274188486, 0.72972972972973, 1, 0.0689655172413793, 0.27027027027027, 1.83815070033966, 0.885757827628041, 0.199038846615939, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02697899590592, 0.1026, 27.082726426369, 0.9442, 30514.6149438274
2, 55, 25, 5000, 142.923, dlmtree:SingleTDLM, 0, 2492, 2508, 0.111807756122043, 0.0531860812971706, 0.836037482104898, 0.837837837837838, 0.75, 0, 0.162162162162162, 1.93611772870501, 0.745860609808111, 0.193017656500803, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.972171945707719, 0.111, 26.2486274386817, 0.9486, 30467.738667956
2, 22, 25, 5000, 148.183, dlmtree:SingleGP, 0, 2581, 2419, 0.112622303822273, 0.0526708948819712, 0.846434966543452, 0.783783783783784, 1, 0, 0.216216216216216, 1.62119373386549, 1.16780748522232, 0.223944207671445, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03295646442422, 0.1078, 26.1964916692386, 0.9452, 30417.2993716544
2, 23, 25, 5000, 142.415, dlmtree:SingleGP, 0, 2495, 2505, 0.108817576095489, 0.0618740064947169, 0.818241889183773, 0.783783783783784, 0.875, 0.0344827586206897, 0.216216216216216, 1.4669774482054, 1.49284519539264, 0.216432865731463, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01002319675349, 0.1034, 26.9753270547431, 0.9436, 30466.5839258673
2, 55, 25, 5000, 146.179, dlmtree:SingleGP, 0, 2492, 2508, 0.113198920056762, 0.0561766688846985, 0.849822133529999, 0.837837837837838, 0.75, 0, 0.162162162162162, 1.95384322420245, 0.722178631948882, 0.203049759229534, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.975569636900445, 0.108, 26.2439439689351, 0.9474, 30488.0694424194
1, 70, 1, 5000, 250.863, dlmtree:TDLMpairs, 2.63325, 2559, 2441, 0.0149891347485718, 0.022627133583108, 0.99239567821045, 0.980546298039129, 1, 0.00242551643287383, 0.0194537019608712, 0.0980596189303091, 0.377259941889683, 1, 0.975419909873003, 1, 0.0245800901269971, 1, 1, 0.313, 0.2622, 0.2451, 0.917331275305452, 0.998648879537681, 0.00300631260766613, 0.00261335291586281, 0.000975098680579294, 0.177957937581058, 0.598153913827057, 0.0301348030419118, 0.0200706174936808, 0.0186800516163139, 1, 0.1055, 0.058, 0.55, 0.0532378048780488, 0.0361127843719572, 0.9628, 1.07687684643526, 0.949, 14435.999441273
2, 72, 1, 5000, 365.159, dlmtree:TruthGP, 0, 2495, 2505, 0.0382611546710204, 0.0184520086247625, 0.948383252992472, 1, 0.903807615230461, 0.00843065441227282, 0, 0.371227336381522, 0.0211412469785087, 0.446092184368737, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.104520745152073, 0.8254, Inf, 0.9364, Inf
3, 1, 1, 5000, 322.491, dlmtree:TDLMnested, 2.42805, 5000, 0, 0.0126581861348467, NaN, 0.943589189189189, NaN, 1, 0, NaN, 0.11666703728282, NaN, 0.9962, NaN, 1, NaN, 0.3485, 0.2105, 0.468, 0.3621, 0.3975, 0.0982712038536184, 0.0371217901136505, 0.270538090335895, 0.13486197953253, 0.166323350989961, 0.0238349147367608, 0.0197615508954601, 0.15719410765369, 0.0557971418466799, 0.104044743496138, 0.021, 0.0405, 0.2565, 0.1775, 0.0619939024390244, 0.00561907944260179, 0.9408, 1.01000614341403, 0.9486, 14161.9626122061
3, 1, 1, 5000, 411.967, dlmtree:TDLMpairs, 2.430325, 5000, 0, 0.00885594739582019, NaN, 1, NaN, 1, 0, NaN, 0.111390314765414, NaN, 0.9998, NaN, 1, NaN, 0.28, 0.1745, 0.3455, 0.318, 0.2588, 0.101242631490611, 0.0226825288214816, 0.184140583411764, 0.145183940905862, 0.100882986873736, 0.0727232043957149, 0.0170659265470041, 0.1150851934311, 0.0944864602755855, 0.0645386748496507, 0.023, 0.0555, 0.199, 0.2645, 0.0482439024390244, 0.00380419981824197, 0.994, 1.00814520496605, 0.9502, 14167.8045038781
